Index;Bloc;Titre;Type
001;A;Amélioration de la lutte contre les rodéos urbains par la prise en charge par les collectivités locales du gardiennage des véhicules utilisés;Legislatif
002;A;Le “white flight” Nantais : les habitants de la grande ville fuient l’insécurité pour Angers jugée plus sûre. Sécurité, tranquillité, circulation… Plusieurs critères les poussent à fuir l’agitation de la sixième ville de France pour sa voisine des Pays de la Loire.;Opinion
003;A;Les musulmans britanniques donnent quatre fois plus que le donateur moyen au Royaume-Uni, selon un rapport.;Opinion
004;A;La patronne de CBS News démissionne sur fond de tensions avec l’administration Trump ;AFP
005;A;La fusée de la mission Shenzhou-20 a décollé pour la station spatiale chinoise;Mainstream
006;A;Poutine et Trump en faveur d’une « normalisation » des relations russo-américaines (Kremlin) ;AFP
007;A;Trump dit que la Russie et l’Ukraine vont « démarrer immédiatement des négociations en vue d’un cessez-le-feu » ;AFP
008;A;A Madagascar, Emmanuel Macron annonce la création d’une commission mixte d’historiens sur les « atrocités » commises pendant l’insurrection de 1947;Mainstream
009;A;Salvador: arrestation d’une avocate défendant les migrants, critique du président Bukele ;AFP
010;A;Les centrales nucléaires ukrainiennes au cœur des négociations entre Américains et Russes sur un cessez-le-feu;Mainstream
011;B;Un Palestinien : « Tirez-moi dessus, je n’enlèverai pas mon pantalon »;Opinion
012;B;La Russie prête à travailler avec l’Ukraine sur un mémorandum concernant « un éventuel traité de paix » (Poutine) ;AFP
013;B;Action Cœur de Ville - mise en œuvre de la prolongation du programme;Legislatif
014;B;Au procès Le Scouarnec, les instances médicales se renvoient la balle ;AFP
015;B;Pour Londres, le partenariat sur la défense avec l’UE va venir en appui de l’OTAN ;AFP
016;B;Fin de saison compromise pour Eduardo Camavinga, victime d’une rupture du tendon de l’adducteur gauche;Mainstream
017;B;Montgeron (91) – La maire LR demande à un jeune de ne pas faire un rodéo à scooter dans un parc familial, il lui fonce dessus;Opinion
018;B;Incendie mortel à Courchevel: l’accusé clame son innocence ;AFP
019;B;Qualité ou durée de vie restants: les députés débattent des conditions de l’aide à mourir ;AFP
020;B;Des militants brandissent le drapeau palestinien lors du Festival international du cerf-volant en France.;Opinion
021;C;Afghanistan : quatre hommes exécutés dans des stades bondés à travers le pays. Une arme est remise à un homme de chacune des familles de victimes qui peut tirer sur le condamné;Opinion
022;C;A Bétharram, la mort de Nicolas, 12 ans, en 1980, après une nuit de fièvre dans un dortoir;Mainstream
023;C;Aides en faveur des agriculteurs confrontés aux effets des épisodes de gel survenus du 1er au 5 avril 2022;Legislatif
024;C;Méningite : face à la flambée des cas, la vaccination sera encore élargie;Mainstream
025;C;MACRON VISE LES PLEINS POUVOIRS, IL DOIT PARTIR EN URGENCE !;Opinion
026;C;Le président sud-africain à Washington pour « raviver » la relation avec les Etats-Unis ;AFP
027;C;Emmanuel Macron n’a « jamais envisagé » une nouvelle dissolution de l’Assemblée nationale cet automne;Mainstream
028;C;Bosnie : tensions à Sarajevo autour d’une possible tentative d’arrestation de Milorad Dodik, chef politique des Serbes;Mainstream
029;C;Trump, Zelensky et ses alliés européens saluent l’offre du pape d’accueillir au Vatican des pourparlers avec Moscou (Meloni) ;AFP
030;C;L’ambassadeur de France à Moscou convoqué après la brève détention d’une fonctionnaire russe à l’aéroport de Paris.;Opinion
031;D;Brésil: début d’auditions de témoins-clefs au procès Bolsonaro ;AFP
032;D;Le président colombien compare le sort des Palestiniens à la souffrance de Jésus-Christ;Opinion
033;D;La CEDH condamne la France pour n’avoir pas protégé trois mineures ayant dénoncé des viols;Mainstream
034;D;Le Venezuela suspend les vols avec la Colombie, dénonçant l’infiltration de « mercenaires » ;AFP
035;D;L’accord sur les pandémies adopté en commission à l’Assemblée mondiale de la santé (vote) ;AFP
036;D;Donald Trump s’en prend de nouveau à Harvard et l’accuse d’être « une institution antisémite »;Mainstream
037;D;#MeToo de la marine marchande : l’accusation requiert des peines avec sursis et des amendes;Mainstream
038;D;Des responsables américains divulguent par erreur des plans de guerre à un journaliste sur Signal;Opinion
039;D;Aides en faveur des agriculteurs confrontés aux effets des épisodes de gel survenus du 4 au 14 avril 2021 - 2ème volet : mesures de compensation des pertes de production - fiches par dispositif;Legislatif
040;D;Au procès Le Scouarnec, les instances médicales se défaussent ;AFP
041;E;Festival de Cannes 2025 : Mylène Farmer fera « une prestation exceptionnelle » lors de la soirée d’ouverture;Mainstream
042;E;Liban: l’armée israélienne dit avoir tué un membre du Hezbollah dans le sud ;AFP
043;E;Aides aux agriculteurs suite aux épisodes de gel du mois d’avril;Legislatif
044;E;Le grand flou des subventions aux ONG : l’UE perd la trace de milliards d’euros;Opinion
045;E;Au magazine « Le Point », plus de 50 suppressions de postes prévues;Mainstream
046;E;Actions nationales 2022 de l’inspection des installations classées;Legislatif
047;E;Actualisation de la doctrine d'utilisation de l'informatique en nuage par l'État (« cloud au centre»);Legislatif
048;E;Le groupe People & Baby veut fermer 44 crèches d’ici à la fin de l’été;Mainstream
049;E;Macron demande la suppression de la directive sur le devoir de vigilance des entreprises ;AFP
050;E;Jura (39) : un afghan condamné à 12 ans de prison pour le viol de son voisin, un ado de 14 ans;Opinion
051;F;Vingt ans de prison pour un père accusé d’avoir poussé sa fille du pont de Saint-Nazaire ;AFP
052;F;Accès à l’hébergement et au logement des personnes déplacées d’Ukraine bénéficiaires de la protection temporaire.;Legislatif
053;F;Northampton (44) : Privée de sa fille malade malgré son droit de visite, Lucy Connolly, emprisonnée pour un tweet anti-immigration, devient un symbole de la justice à deux vitesses subie par les Britanniques de souche;Opinion
054;F;En direct, guerre en Ukraine : Donald Trump se dit « mécontent » après les frappes russes sur Kiev survenues pendant la nuit;Mainstream
055;F;Berlin : Un migrant syrien abattu par la police après avoir poignardé un Allemand dans le métro;Opinion
056;F;Nantes (44) : Un homme de 23 ans poignardé en pleine rue pour avoir défendu une amie face à un “dragueur” insistant qui sortait d’un kebab;Opinion
057;F;Accélération de la production des énergies renouvelables : instruction des demandes d’autorisation et suivi des travaux d’implantation de panneaux solaires;Legislatif
058;F;Les Européens vont renforcer leurs sanctions contre la Russie après l’entretien Trump-Poutine, selon Berlin ;AFP
059;F;Application du Code de la commande publique et du décret n° 2002-677 du 29 avril 2002 modifié relatif à l'obligation de décoration des constructions publiques;Legislatif
060;F;En Israël, le réquisitoire du chef du renseignement intérieur, Ronen Bar, contre Benyamin Nétanyahou;Mainstream
061;G;« Restez à vos places de femmes » : l’inquiétant succès des « influenceurs » à tendance salafiste sur les réseaux sociaux;Opinion
062;G;MACRON MENACE POUTINE ET VEUT DÉPLOYER DES TROUPES EN UKRAINE ?!;Opinion
063;G;Un étudiant britannique pro-palestinien quitte les États-Unis par crainte d’une détention.;Opinion
064;G;Accompagnement des collectivités pour la réparation des dégâts et dommages contre les biens des collectivités résultant des violences urbaines survenues depuis le 27 juin 2023.;Legislatif
065;G;Les droits de douane imposés par Donald Trump contestés en justice par douze Etats;Mainstream
066;G;Addendum à la circulaire INTA2214249C du 13 mai 2022 relative à l'attribution des nuances aux candidats aux élections législatives de 2022;Legislatif
067;G;MACRON S’ENFONCE DANS LA TYRANNIE : L’INSURRECTION EST-ELLE INÉVITABLE ?;Opinion
068;G;Gaza: Macron, Starmer et Carney affirment qu’ils ne resteront « pas les bras croisés » face aux « actions scandaleuses » du gouvernement Netanyahu ;AFP
069;G;L’homme d’affaires Stérin réitère vouloir être entendu par les députés via visoconférence ;AFP
070;G;Corée du Sud : l’ancien président Moon Jae-in inculpé pour corruption;Mainstream
071;H;Alger rend la pareille à Paris sur les visas pour les titulaires de passeports diplomatiques ;AFP
072;H;En direct, guerre à Gaza : un tir de char israélien a tué un employé de l’ONU en mars, reconnaît l’armée israélienne;Mainstream
073;H;Sandrine Rousseau demande à ce que le droit à l’euthanasie soit accessible aux clandestins;Opinion
074;H;Craignant que les restrictions du droit du sol à Mayotte soient étendues à l’ensemble du pays, LFI veut faire inscrire le droit du sol dans la Constitution;Opinion
