index_biais,nom,mecanisme,declencheurs,exemple,faux_positif,validation
DIMA01,Effet de contexte,Tendance à voir son jugement influencé par l'environnement immédiat plutôt que par les qualités objectives de l'information.,"""Selon la situation"", ""Dans ce contexte"", ""Vu les circonstances""","""Dans un contexte de crise, cette mesure est acceptée."" / ""Face aux circonstances exceptionnelles, il faut agir différemment.""","""Cette mesure est logique quelle que soit la situation.""",💡 Présent si Si le jugement varie selon le contexte présenté.
DIMA02,Biais de distinction,Exagération des différences entre options similaires lorsqu'elles sont évaluées ensemble.,"""Comparer"", ""Différence marquée""","""Ces deux offres paraissent très différentes lorsqu'on les compare.""","""Ces deux options sont évaluées de manière neutre et comparable.""",💡 Présent si Si la comparaison simultanée rend deux options plus différentes.
DIMA03,Loi de Weber-Fechner,Perception de la variation relative d'un stimulus dépendant de son intensité de départ.,"""Petite différence"", ""Changement imperceptible""","""5% d'augmentation est perçue différemment selon le revenu initial.""","""Une variation identique est ressentie pareil quel que soit le point de départ.""",💡 Présent si Si la perception dépend de l'intensité initiale.
DIMA04,Effet Peltzman (compensation du risque),Tendance à compenser des mesures de sécurité par des comportements plus risqués.,"""Moins risqué"", ""Protégé""","""L'ABS incite certains conducteurs à rouler plus vite.""","""Les mesures de sécurité sont intégrées sans changement de comportement.""",💡 Présent si Si les mesures de sécurité augmentent les comportements risqués.
DIMA05,Effet de retournement,Réaction opposée à l'effet escompté sous influence perçue.,"""Se rebeller"", ""Réaction opposée""","""Face à la pression, il défend encore plus sa position.""","""Il suit naturellement la recommandation.""",💡 Présent si Si une pression ou une incitation produit l'effet contraire.
DIMA06,Saturation informationnelle,Effondrement de la capacité de traitement sous surcharge d'information.,"""Trop d'informations"", ""Submergé""","""Il n'a pas pu choisir face à l'abondance d'options.""","""Il traite calmement toutes les informations disponibles.""",💡 Présent si Si la quantité d'information réduit la capacité décisionnelle.
DIMA07,Effet d'espacement,Meilleure mémorisation par apprentissage réparti dans le temps.,"""Sessions étalées"", ""Répétitions espacées""","""Il retient mieux avec plusieurs sessions espacées.""","""Il mémorise aussi bien en apprenant tout d’un coup.""",💡 Présent si Si l'espacement des sessions renforce la mémorisation.
DIMA08,Effet de suggestion,Altération des souvenirs sous l'effet de suggestions extérieures.,"""On m'a dit que"", ""On suppose que""","""Le témoin incorpore des détails induits par la question.""","""Le souvenir reste fidèle aux faits vécus.""",💡 Présent si Si des éléments suggérés modifient le souvenir.
DIMA09,Effet de génération,Meilleure rétention d'une information quand elle est produite soi-même.,"""Formuler soi-même"", ""Créer la réponse""","""Il retient mieux après avoir formulé ses propres réponses.""","""Il retient autant par lecture passive.""",💡 Présent si Si la génération active améliore la mémorisation.
DIMA10,Stéréotype implicite,Activation automatique d'associations stéréotypées envers un groupe.,"""Tous les mêmes"", ""Inconscient""","""Il pense inconsciemment que certains métiers conviennent à un groupe spécifique.""","""Il juge les individus sans stéréotypes implicites.""",💡 Présent si Si l'évaluation est influencée inconsciemment par un stéréotype.
DIMA11,Effacement négatif,Tendance à oublier préférentiellement les souvenirs négatifs.,"""Oublier les mauvais moments""","""Il se souvient surtout des aspects heureux d'une période difficile.""","""Il se rappelle autant des échecs que des réussites.""",💡 Présent si Si les souvenirs négatifs disparaissent plus facilement.
DIMA12,Biais d'omission,Tendance à juger moins sévèrement une action par omission qu'une action par commission.,"""Ne rien faire"", ""Par défaut""","""Laisser passer une faute semble moins grave que la commettre.""","""Omission et action sont jugées aussi graves.""",💡 Présent si Si l'inaction est jugée plus acceptable qu'une action.
DIMA13,Biais de la route connue,Préférence pour les chemins déjà empruntés malgré des alternatives meilleures.,"""Chemin habituel"", ""Solution éprouvée""","""Il choisit la route connue même si elle est plus longue.""","""Il évalue objectivement toutes les options.""",💡 Présent si Si l'habitude prévaut sur l'optimalité.
DIMA14,Biais de la somme nulle,Croyance que les gains des uns impliquent nécessairement les pertes des autres.,"""Ce que l'un gagne, l'autre perd""","""Il pense que si un collègue réussit, cela lui nuit.""","""Il considère les succès indépendamment des siens.""",💡 Présent si Si les situations coopératives sont perçues comme compétitives.
DIMA15,Biais de normalité,Sous-estimation des événements extrêmes par projection de la continuité passée.,"""Comme d'habitude"", ""Rien d'exceptionnel""","""Il croit qu’une crise grave est improbable car jamais vécue.""","""Il reste conscient des risques inédits.""",💡 Présent si Si la stabilité passée est utilisée pour nier l'exceptionnel.
DIMA16,Biais de confusion de source,Mauvaise attribution de la provenance d'un souvenir ou d'une information.,"""Je crois que"", ""Quelqu'un a dit""","""Il attribue une information lue sur internet à une source officielle.""","""Il distingue clairement l'origine des informations.""",💡 Présent si Si la source réelle est confondue avec une autre.
DIMA17,Biais de la preuve anecdotique,Priorisation des témoignages personnels sur les données statistiques.,"""J'ai vu"", ""Ça m'est arrivé""","""Il croit qu'une solution marche car un ami l’a testée.""","""Il privilégie les études sérieuses aux anecdotes.""",💡 Présent si Si un témoignage isolé prime sur la statistique globale.
DIMA18,Illusion des séries,Perception de motifs dans des séquences d'événements aléatoires.,"""Série chanceuse"", ""Coup du sort""","""Il croit à une tendance cachée après plusieurs succès consécutifs.""","""Il traite chaque événement comme indépendant.""",💡 Présent si Si des motifs sont vus dans du hasard pur.
DIMA19,Effet de biais d'homogénéité de l'exogroupe,Perception exagérée de la similarité au sein d'un groupe extérieur.,"""Ils sont tous pareils""","""Il pense que tous les membres d'un autre groupe se ressemblent.""","""Il reconnaît les différences individuelles d'autres groupes.""",💡 Présent si Si les nuances entre membres externes sont ignorées.
