nom,definition_operationnelle,structure_cognitive_typique,indices_linguistiques_contextuels,contexte_rhetorique_typique,critere_de_validation,exemple_positif,exemple_faux_positif,mise_en_garde
Effet de contexte,Tendance à voir son jugement influencé par l'environnement immédiat plutôt que par les qualités objectives de l'information.,Le jugement sur un objet change en fonction du cadre ou de la situation présentée.,"""Selon la situation"", ""Dans ce contexte"", ""Vu les circonstances""","Cadre narratif spécifique : crise, urgence, comparaison implicite.",💡 Présent si Si le jugement varie selon le contexte présenté.,"""Dans un contexte de crise, cette mesure est acceptée."" / ""Face aux circonstances exceptionnelles, il faut agir différemment.""","""Cette mesure est logique quelle que soit la situation.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de distinction,Exagération des différences entre options similaires lorsqu'elles sont évaluées ensemble.,L’esprit surestime des différences perçues entre des éléments similaires.,"""Comparer"", ""Différence marquée""",Mise en opposition artificielle entre deux options ou deux groupes.,💡 Présent si Si la comparaison simultanée rend deux options plus différentes.,"""Ces deux offres paraissent très différentes lorsqu'on les compare.""","""Ces deux options sont évaluées de manière neutre et comparable.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Loi de Weber-Fechner,Perception de la variation relative d'un stimulus dépendant de son intensité de départ.,L’impact d’un changement dépend de l’intensité initiale perçue.,"""Petite différence"", ""Changement imperceptible""",Évaluation de variations faibles ou imperceptibles dans un contexte quantitatif.,💡 Présent si Si la perception dépend de l'intensité initiale.,"""5% d'augmentation est perçue différemment selon le revenu initial.""","""Une variation identique est ressentie pareil quel que soit le point de départ.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet Peltzman (compensation du risque),Tendance à compenser des mesures de sécurité par des comportements plus risqués.,L’individu augmente son risque perçu quand des mesures de sécurité sont ajoutées.,"""Moins risqué"", ""Protégé""","Mention de protection, sécurité accrue ou comportement compensatoire.",💡 Présent si Si les mesures de sécurité augmentent les comportements risqués.,"""L'ABS incite certains conducteurs à rouler plus vite.""","""Les mesures de sécurité sont intégrées sans changement de comportement.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de retournement,Réaction opposée à l'effet escompté sous influence perçue.,Une injonction provoque une réaction inverse à celle attendue.,"""Se rebeller"", ""Réaction opposée""","Discours d’opposition, provocation ou d’inversion des normes.",💡 Présent si Si une pression ou une incitation produit l'effet contraire.,"""Face à la pression, il défend encore plus sa position.""","""Il suit naturellement la recommandation.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Saturation informationnelle,Effondrement de la capacité de traitement sous surcharge d'information.,,"""Trop d'informations"", ""Submergé""",,💡 Présent si Si la quantité d'information réduit la capacité décisionnelle.,"""Il n'a pas pu choisir face à l'abondance d'options.""","""Il traite calmement toutes les informations disponibles.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet d'espacement,Meilleure mémorisation par apprentissage réparti dans le temps.,,"""Sessions étalées"", ""Répétitions espacées""",,💡 Présent si Si l'espacement des sessions renforce la mémorisation.,"""Il retient mieux avec plusieurs sessions espacées.""","""Il mémorise aussi bien en apprenant tout d’un coup.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de suggestion,Altération des souvenirs sous l'effet de suggestions extérieures.,,"""On m'a dit que"", ""On suppose que""",,💡 Présent si Si des éléments suggérés modifient le souvenir.,"""Le témoin incorpore des détails induits par la question.""","""Le souvenir reste fidèle aux faits vécus.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de génération,Meilleure rétention d'une information quand elle est produite soi-même.,,"""Formuler soi-même"", ""Créer la réponse""",,💡 Présent si Si la génération active améliore la mémorisation.,"""Il retient mieux après avoir formulé ses propres réponses.""","""Il retient autant par lecture passive.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Stéréotype implicite,Activation automatique d'associations stéréotypées envers un groupe.,,"""Tous les mêmes"", ""Inconscient""",,💡 Présent si Si l'évaluation est influencée inconsciemment par un stéréotype.,"""Il pense inconsciemment que certains métiers conviennent à un groupe spécifique.""","""Il juge les individus sans stéréotypes implicites.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
