nom,definition_operationnelle,structure_cognitive_typique,indices_linguistiques_contextuels,contexte_rhetorique_typique,critere_de_validation,exemple_positif,exemple_faux_positif,mise_en_garde,question_annotation
Effet de contexte,Tendance à voir son jugement influencé par l'environnement immédiat plutôt que par les qualités objectives de l'information.,Le jugement sur un objet change en fonction du cadre ou de la situation présentée.,"""Selon la situation"", ""Dans ce contexte"", ""Vu les circonstances""","Cadre narratif spécifique : crise, urgence, comparaison implicite.",💡 Présent si Si le jugement varie selon le contexte présenté.,"""Dans un contexte de crise, cette mesure est acceptée."" / ""Face aux circonstances exceptionnelles, il faut agir différemment.""","""Cette mesure est logique quelle que soit la situation.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,"Le titre modifie-t-il la perception d’un fait neutre en le replaçant dans un contexte susceptible de changer le jugement du lecteur ? (ex. : situation de guerre, crise sanitaire, menace terroriste, contexte électoral, urgence climatique...)"
Biais de distinction,Exagération des différences entre options similaires lorsqu'elles sont évaluées ensemble.,L’esprit surestime des différences perçues entre des éléments similaires.,"""Comparer"", ""Différence marquée""",Mise en opposition artificielle entre deux options ou deux groupes.,💡 Présent si Si la comparaison simultanée rend deux options plus différentes.,"""Ces deux offres paraissent très différentes lorsqu'on les compare.""","""Ces deux options sont évaluées de manière neutre et comparable.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,"Le titre accentue-t-il une différence entre deux éléments qui semblent pourtant proches ou similaires ? (ex. : opposer deux groupes, alternatives, nations ou propositions qui partagent pourtant des caractéristiques communes)"
Loi de Weber-Fechner,Perception de la variation relative d'un stimulus dépendant de son intensité de départ.,L’impact d’un changement dépend de l’intensité initiale perçue.,"""Petite différence"", ""Changement imperceptible""",Évaluation de variations faibles ou imperceptibles dans un contexte quantitatif.,💡 Présent si Si la perception dépend de l'intensité initiale.,"""5% d'augmentation est perçue différemment selon le revenu initial.""","""Une variation identique est ressentie pareil quel que soit le point de départ.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre joue-t-il sur une échelle de variation qui masque ou amplifie un changement en fonction de son point de départ ? (ex. : variation faible perçue comme majeure selon l’intensité initiale)
Effet Peltzman (compensation du risque),Tendance à compenser des mesures de sécurité par des comportements plus risqués.,L’individu augmente son risque perçu quand des mesures de sécurité sont ajoutées.,"""Moins risqué"", ""Protégé""","Mention de protection, sécurité accrue ou comportement compensatoire.",💡 Présent si Si les mesures de sécurité augmentent les comportements risqués.,"""L'ABS incite certains conducteurs à rouler plus vite.""","""Les mesures de sécurité sont intégrées sans changement de comportement.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,"Le titre suggère-t-il qu’une mesure de sécurité ou de prévention entraînerait un comportement plus risqué ou relâché ? (ex. : port du casque = prise de risques accrue, impunité liée à une protection renforcée)"
Effet de retournement,Réaction opposée à l'effet escompté sous influence perçue.,Une injonction provoque une réaction inverse à celle attendue.,"""Se rebeller"", ""Réaction opposée""","Discours d’opposition, provocation ou d’inversion des normes.",💡 Présent si Si une pression ou une incitation produit l'effet contraire.,"""Face à la pression, il défend encore plus sa position.""","""Il suit naturellement la recommandation.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,"Le titre semble-t-il provoquer une réaction opposée à celle attendue ? (ex. : injonction perçue comme manipulatoire, appel moralisateur déclenchant du rejet, surenchère provocant la distance)"
Saturation informationnelle,Effondrement de la capacité de traitement sous surcharge d'information.,,"""Trop d'informations"", ""Submergé""",,💡 Présent si Si la quantité d'information réduit la capacité décisionnelle.,"""Il n'a pas pu choisir face à l'abondance d'options.""","""Il traite calmement toutes les informations disponibles.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Saturation informationnelle » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet d'espacement,Meilleure mémorisation par apprentissage réparti dans le temps.,,"""Sessions étalées"", ""Répétitions espacées""",,💡 Présent si Si l'espacement des sessions renforce la mémorisation.,"""Il retient mieux avec plusieurs sessions espacées.""","""Il mémorise aussi bien en apprenant tout d’un coup.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet d'espacement » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de suggestion,Altération des souvenirs sous l'effet de suggestions extérieures.,,"""On m'a dit que"", ""On suppose que""",,💡 Présent si Si des éléments suggérés modifient le souvenir.,"""Le témoin incorpore des détails induits par la question.""","""Le souvenir reste fidèle aux faits vécus.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de suggestion » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de génération,Meilleure rétention d'une information quand elle est produite soi-même.,,"""Formuler soi-même"", ""Créer la réponse""",,💡 Présent si Si la génération active améliore la mémorisation.,"""Il retient mieux après avoir formulé ses propres réponses.""","""Il retient autant par lecture passive.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de génération » identifiable par une structure de pensée ou une logique implicite particulière ?
Stéréotype implicite,Activation automatique d'associations stéréotypées envers un groupe.,,"""Tous les mêmes"", ""Inconscient""",,💡 Présent si Si l'évaluation est influencée inconsciemment par un stéréotype.,"""Il pense inconsciemment que certains métiers conviennent à un groupe spécifique.""","""Il juge les individus sans stéréotypes implicites.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Stéréotype implicite » identifiable par une structure de pensée ou une logique implicite particulière ?
Effacement négatif,Tendance à oublier préférentiellement les souvenirs négatifs.,,"""Oublier les mauvais moments""",,💡 Présent si Si les souvenirs négatifs disparaissent plus facilement.,"""Il se souvient surtout des aspects heureux d'une période difficile.""","""Il se rappelle autant des échecs que des réussites.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effacement négatif » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais d'omission,Tendance à juger moins sévèrement une action par omission qu'une action par commission.,,"""Ne rien faire"", ""Par défaut""",,💡 Présent si Si l'inaction est jugée plus acceptable qu'une action.,"""Laisser passer une faute semble moins grave que la commettre.""","""Omission et action sont jugées aussi graves.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais d'omission » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais de la route connue,Préférence pour les chemins déjà empruntés malgré des alternatives meilleures.,,"""Chemin habituel"", ""Solution éprouvée""",,💡 Présent si Si l'habitude prévaut sur l'optimalité.,"""Il choisit la route connue même si elle est plus longue.""","""Il évalue objectivement toutes les options.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais de la route connue » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais de la somme nulle,Croyance que les gains des uns impliquent nécessairement les pertes des autres.,,"""Ce que l'un gagne, l'autre perd""",,💡 Présent si Si les situations coopératives sont perçues comme compétitives.,"""Il pense que si un collègue réussit, cela lui nuit.""","""Il considère les succès indépendamment des siens.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais de la somme nulle » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais de normalité,Sous-estimation des événements extrêmes par projection de la continuité passée.,,"""Comme d'habitude"", ""Rien d'exceptionnel""",,💡 Présent si Si la stabilité passée est utilisée pour nier l'exceptionnel.,"""Il croit qu’une crise grave est improbable car jamais vécue.""","""Il reste conscient des risques inédits.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais de normalité » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais de confusion de source,Mauvaise attribution de la provenance d'un souvenir ou d'une information.,,"""Je crois que"", ""Quelqu'un a dit""",,💡 Présent si Si la source réelle est confondue avec une autre.,"""Il attribue une information lue sur internet à une source officielle.""","""Il distingue clairement l'origine des informations.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais de confusion de source » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais de la preuve anecdotique,Priorisation des témoignages personnels sur les données statistiques.,,"""J'ai vu"", ""Ça m'est arrivé""",,💡 Présent si Si un témoignage isolé prime sur la statistique globale.,"""Il croit qu'une solution marche car un ami l’a testée.""","""Il privilégie les études sérieuses aux anecdotes.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais de la preuve anecdotique » identifiable par une structure de pensée ou une logique implicite particulière ?
Illusion des séries,Perception de motifs dans des séquences d'événements aléatoires.,,"""Série chanceuse"", ""Coup du sort""",,💡 Présent si Si des motifs sont vus dans du hasard pur.,"""Il croit à une tendance cachée après plusieurs succès consécutifs.""","""Il traite chaque événement comme indépendant.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Illusion des séries » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de biais d'homogénéité de l'exogroupe,Perception exagérée de la similarité au sein d'un groupe extérieur.,,"""Ils sont tous pareils""",,💡 Présent si Si les nuances entre membres externes sont ignorées.,"""Il pense que tous les membres d'un autre groupe se ressemblent.""","""Il reconnaît les différences individuelles d'autres groupes.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de biais d'homogénéité de l'exogroupe » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de retournement émotionnel,Amplification émotionnelle par rupture d'attente affective.,Une injonction provoque une réaction inverse à celle attendue.,"""Contre toute attente"", ""Déception forte""","Discours d’opposition, provocation ou d’inversion des normes.",💡 Présent si Si la rupture émotionnelle provoque une réaction disproportionnée.,"""Un espoir déçu renforce la colère.""","""Une déception est perçue calmement sans exagération émotionnelle.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,"Le titre semble-t-il provoquer une réaction opposée à celle attendue ? (ex. : injonction perçue comme manipulatoire, appel moralisateur déclenchant du rejet, surenchère provocant la distance)"
Effet de fausse mémoire,Création ou modification de souvenirs suite à des influences externes ou reconstructions mentales.,,"""Je suis sûr que"", ""Je me rappelle que""",,💡 Présent si Si un souvenir inexistant est affirmé avec confiance.,"""Il croit se souvenir d'un événement qui n'a jamais eu lieu.""","""Il reconnaît son incertitude sur ses souvenirs.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de fausse mémoire » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de confiance excessive,Surestimation de ses capacités ou connaissances réelles.,,"""Je suis sûr"", ""C'est évident""",,💡 Présent si Si la certitude dépasse la justesse réelle de manière systématique.,"""Il affirme des informations erronées avec assurance.""","""Il vérifie systématiquement ses certitudes.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de confiance excessive » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet d'illusion de contrôle,Croyance exagérée de pouvoir influencer des événements incontrôlables.,,"""Grâce à moi"", ""Je contrôle cela""",,💡 Présent si Si une maîtrise est perçue là où il n'y en a pas.,"""Il pense influencer un tirage au sort par ses gestes.""","""Il reconnaît l’indépendance du résultat par rapport à ses actions.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet d'illusion de contrôle » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet d'amorçage émotionnel,Modification du jugement suite à une stimulation émotionnelle préalable.,,"""Après cette ambiance"", ""Sous influence émotionnelle""",,💡 Présent si Si une émotion préalable oriente inconsciemment l'évaluation suivante.,"""Après avoir vu une scène triste, il juge plus sévèrement.""","""Son jugement reste stable quelle que soit l'ambiance précédente.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet d'amorçage émotionnel » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet de simplification heuristique,Usage de raccourcis mentaux rapides pour évaluer des situations complexes.,,"""Raccourci"", ""Décision intuitive""",,💡 Présent si Si une décision complexe est résumée par une heuristique simple.,"""Il juge un risque uniquement par la peur qu'il inspire.""","""Il analyse rationnellement toutes les dimensions d'une décision.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet de simplification heuristique » identifiable par une structure de pensée ou une logique implicite particulière ?
Effet d'atténuation de l'alerte,Diminution de la vigilance face à un danger par absence d’incident visible.,,"""Pas grave"", ""Toujours rien""",,💡 Présent si Si la perception du risque baisse sans modification réelle de la menace.,"""Après plusieurs fausses alertes, il ignore les consignes.""","""Il reste prudent malgré l'absence d'événements.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Effet d'atténuation de l'alerte » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais d'optimisme irréaliste,Tendance à croire que les événements négatifs arrivent plus aux autres qu'à soi.,,"""Ça n'arrive qu'aux autres""",,💡 Présent si Si l'estimation personnelle du risque est systématiquement inférieure à la moyenne.,"""Il croit qu'il est moins exposé aux accidents que la moyenne.""","""Il évalue objectivement son risque personnel.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais d'optimisme irréaliste » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais de normalisation du déviant,Acceptation progressive de comportements déviants devenus fréquents.,,"""On s'y habitue"", ""C'est la norme maintenant""",,💡 Présent si Si une répétition d'écarts entraîne leur normalisation cognitive.,"""Des infractions répétées deviennent acceptées comme normales.""","""Il reste critique malgré la répétition des écarts.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,Le titre mobilise-t-il un biais de type « Biais de normalisation du déviant » identifiable par une structure de pensée ou une logique implicite particulière ?
Biais d'ancrage,Surestimation d'une première information donnée pour évaluer une situation ultérieure.,,"""Premier prix"", ""Référence initiale""",,💡 Présent si Présent si la première information influence le jugement final.,"""Une maison semble bon marché après avoir vu une maison plus chère.""","""Chaque maison est évaluée indépendamment.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.,"Le titre donne-t-il une valeur de référence (chiffre, seuil, formulation) qui influence la perception du reste de l'information ? (ex. : montant fixé, seuil implicite, norme implicite)"
