Titre;Chapô
La voie est libre pour l’adoption de l’accord sur les pandémies ;L’accord historique sur la prévention et la lutte contre les pandémies devrait être adopté sans anicroche mardi par l’Assemblée mondiale des pays membres de l’Organisation mondiale de la santé après avoir été adopté en commission lundi soir.
Bras de fer entre les députés et l’homme d’affaires Stérin sur son audition par une commission ;Viendra? Viendra pas? Après avoir manqué une première convocation d’une commission parlementaire la semaine dernière, l’homme d’affaires Pierre-Édouard Stérin a réitéré vouloir être entendu par visioconférence mardi, le président de cette commission réclamant qu’il se présente en personne.
Au procès Le Scouarnec, les instances médicales se renvoient la balle ;Comment Joël Le Scouarnec, condamné dès 2005 pour infraction pédocriminelle, a-t-il pu continuer à être chirurgien et à faire impunément des victimes? D’anciens responsables des institutions médicales ont été pressés de questions lundi par la cour criminelle du Morbihan, peinant à reconnaître une part de responsabilité de leurs institutions.
L’accord sur les pandémies adopté en commission à l’Assemblée mondiale de la santé (vote) ;L’accord historique sur la prévention et la lutte contre les pandémies a été adopté lundi en commission de l’Assemblée mondiale de la santé, avant un vote devant l’Assemblée mardi, a indiqué la présidente de la commission.
La patronne de CBS News démissionne sur fond de tensions avec l’administration Trump ;La patronne de la grande chaîne américaine CBS News a remis lundi sa démission en invoquant des derniers mois « compliqués » dans la foulée de tensions entre le réseau d’information et l’administration Trump en guerre ouverte contre des médias.
Salvador: arrestation d’une avocate défendant les migrants, critique du président Bukele ;Une avocate critique du président Nayib Bukele et venant en aide aux 252 migrants vénézuéliens expulsés par les États-Unis puis incarcérés au Salvador a été arrêtée dans ce pays d’Amérique centrale, accusée de détournement de fonds, a-t-on appris lundi.
Trump, Zelensky et ses alliés européens saluent l’offre du pape d’accueillir au Vatican des pourparlers avec Moscou (Meloni) ;Donald Trump, Volodymyr Zelensky et des alliés européens de Kiev, dont Paris et Berlin, ont jugé « positivement » lundi l’offre du pape Léon XIV d’accueillir au Vatican des pourparlers entre l’Ukraine et la Russie, selon la cheffe du gouvernement italien.
Balenciaga nomme le créateur Pierpaolo Piccioli pour succéder à Demna ;Le mercato des créateurs de mode se rapproche de la fin avec la nomination du nouveau directeur artistique de Balenciaga, l’Italien Pierpaolo Piccioli, chargé d’ouvrir un « nouveau chapitre » après la décennie chahutée avec Demna à la barre.
Liban: l’armée israélienne dit avoir tué un membre du Hezbollah dans le sud ;L’armée israélienne a annoncé lundi avoir tué un membre du mouvement chiite Hezbollah dans une frappe sur le sud du Liban, malgré un cessez-le-feu en vigueur entre le mouvement islamiste et Israël.
Retour à la normale à l’aéroport de Paris-Orly, « totalité du programme de vol » assurée dans les jours à venir ;La panne de l’outil de contrôle aérien, qui a largement perturbé le trafic à l’aéroport de Paris-Orly depuis dimanche, a été réparée lundi, et le programme de vol devrait être assuré normalement à compter de mardi, a annoncé la Direction générale de l’aviation civile (DGAC).
Brésil: début d’auditions de témoins-clefs au procès Bolsonaro ;La Cour suprême du Brésil a commencé lundi à entendre des témoins-clefs au procès de l’ex-président d’extrême droite Jair Bolsonaro, qui encourt une lourde peine de prison pour tentative présumée de coup d’Etat.
Macron demande la suppression de la directive sur le devoir de vigilance des entreprises ;Le président Emmanuel Macron a souhaité lundi la suppression pure et simple de la directive européenne sur le devoir de vigilance, ou CS3D, comme le nouveau chancelier allemand Friedrich Merz il y a une dizaine de jours.
Les Européens vont renforcer leurs sanctions contre la Russie après l’entretien Trump-Poutine, selon Berlin ;Les principaux alliés européens de l’Ukraine se sont entendus pour « accroître la pression » sur Moscou en renforçant les sanctions, a indiqué lundi le gouvernement allemand après l’entretien entre Donald Trump et Vladimir Poutine.
Microsoft annonce héberger Grok, le modèle d’intelligence artificielle de Musk ;Microsoft a annoncé lundi ajouter Grok, la famille de modèles d’intelligence artificielle (IA) générative d’Elon Musk, à Azure, sa plateforme de « cloud » (informatique dématérialisée) pour les développeurs, après une nouvelle polémique autour du service de l’homme d’affaires d’origine sud-africaine.
Trump dit que la Russie et l’Ukraine vont « démarrer immédiatement des négociations en vue d’un cessez-le-feu » ;Donald Trump a affirmé lundi que la Russie et l’Ukraine allaient « démarrer immédiatement des négociations en vue d’un cessez-le-feu », après son appel avec Vladimir Poutine, qui « s’est très bien passé » selon lui.
Le président sud-africain à Washington pour « raviver » la relation avec les Etats-Unis ;Le président sud-africain Cyril Ramaphosa a atterri lundi à Washington où il espère « raviver » sa relation avec les Etats-Unis de Donald Trump, qu’il doit rencontrer mercredi, a annoncé Pretoria.
Poutine et Trump en faveur d’une « normalisation » des relations russo-américaines (Kremlin) ;Vladimir Poutine et Donald Trump se sont dit lundi en faveur d’une « normalisation » des relations entre leurs deux pays, a indiqué le Kremlin, à l’issue d’un appel « de deux heures et cinq minutes » entre les deux dirigeants qui ont notamment évoqué l’Iran.
Pour Londres, le partenariat sur la défense avec l’UE va venir en appui de l’OTAN ;Le ministre britannique des Affaires étrangères David Lammy a suggéré lundi que des troupes britanniques pourraient soutenir des missions militaires européennes dans les Balkans occidentaux dans le cadre du partenariat sur la sécurité et la défense signé avec l’Union européenne.
La Russie prête à travailler avec l’Ukraine sur un mémorandum concernant « un éventuel traité de paix » (Poutine) ;Vladimir Poutine a déclaré lundi que la Russie était prête à travailler avec l’Ukraine sur un « mémorandum » concernant « un éventuel traité de paix » entre les deux pays, le président russe estimant que les discussions avec Kiev allaient dans « la bonne voie » après des pourparlers pourtant infructueux à Istanbul.
Accord pour lancer un contrôle automatisé aux frontières de l’UE ;L’Union européenne a trouvé lundi un accord pour le lancement progressif d’un contrôle automatisé à ses frontières, qui doit remplacer, à terme, le tampon manuel sur les passeports.
Gaza: Macron, Starmer et Carney affirment qu’ils ne resteront « pas les bras croisés » face aux « actions scandaleuses » du gouvernement Netanyahu ;Emmanuel Macron, Keir Starmer et Mark Carney ont prévenu lundi qu’ils ne resteraient « pas les bras croisés » face aux « actions scandaleuses » du gouvernement israélien de Benjamin Netanyahu à Gaza, menaçant de « mesures concrètes » s’il ne cesse pas son offensive militaire et ne débloque pas l’aide humanitaire.
Alger rend la pareille à Paris sur les visas pour les titulaires de passeports diplomatiques ;L’Algérie répondra « par une application stricte de la réciprocité » à la suspension par Paris de l’exemption de visas pour les Algériens disposant de passeports diplomatiques, a indiqué lundi le ministère algérien des Affaires étrangères.
L’homme d’affaires Stérin réitère vouloir être entendu par les députés via visoconférence ;Viendra? Viendra pas? Après avoir manqué une première convocation d’une commission parlementaire la semaine dernière, l’homme d’affaires Pierre-Édouard Stérin a réitéré vouloir être entendu par visioconférence mardi, le président de cette commission réclamant qu’il se présente en personne.
Gaza : 22 pays exigent d’Israël une « reprise complète de l’aide, immédiatement » ;Vingt-deux pays, dont la France, l’Allemagne, le Royaume-Uni, le Canada, le Japon et l’Australie, ont exigé lundi d’Israël une « reprise complète de l’aide à la bande de Gaza, immédiatement », demandant qu’elle soit organisée par les Nations unies et les ONG.
Incendie mortel à Courchevel: l’accusé clame son innocence ;L’incendie avait coûté la vie à deux saisonniers dans la station de ski de Courchevel en 2019: jugé depuis lundi pour avoir volontairement mis le feu à leur résidence, Hicham Abderraouf va tenter de convaincre la cour d’assises qu’il est « innocent ».
